"Codice articolo","Descrizione","Categoria","Prezzo"
"CV-45","Cavo Audio - Lungh. 180 cm","CAVI/CABLAGGI","8,968"
"DD16-098","Cassetta monete zincata dd16-18","CARPENTERIE","55,5413"
"DD18-137","Scivolo resto DP18 - Inox ""Chicco di Riso""","CARPENTERIE","47,594"
"DD16-903-GU","Pannello frontale DP18 sp.5 con foro POS Self2000 - Durex ""2023""","PARTI PLASTICHE","450,11"
"DD16-920-GU","Frontalino con stampa logo Durex x DP18 vers.""Durex 2023""-plexiglass","PARTI PLASTICHE","46,247"
"DD60-910-1-GU","Pannello porta Monolitico DD60 NEW grafica Gucci - plexi 10 mm.","PARTI PLASTICHE","893,55"
"DD60-PS100","Costa sensibile PS100-610-2S-S30-150-IAC x vasca rotativa DD60","COMPONENTE ELETTRONICO/ELETTRICO","215,52"
"DIST-FF-10MM","Distanziale. h 10mm fil.m3 ny d.e 6mm RTSN-M3-10-6-1","COMPONENTI MECCANICI","1,5022"
"SUPP-DIST","Supporto/distanziale conico per spintore DP60   CRLCBSR-3-01","COMPONENTI MECCANICI","0,46"
"SUPP-FASC-03","Reggi cavo 36.h15.ny.bia  adesivo 5511/16///15","COMPONENTI MECCANICI","1,182775"
"DIST-07","Distanziale in nylon h 5mm per DP8 - RLCBSA-5-01","COMPONENTI MECCANICI","2,2792"
"DIST-09","Distanziale H.5mm per cassetti DP60/40","COMPONENTI MECCANICI","0,29256"
"DP16-022","Rullino reg. rostro superiore derlin","PARTI PLASTICHE","4,5066"
"DP40-900-1GU","Pannello Porta DP40 Con logo Durex Vers.""2023"" - Plexi stamp. da 8 mm.","PARTI PLASTICHE","795,34"
"DP40-034-1","Piastra supp. POS + QR Code DP40 - PRZ+Ral 9003 Liscio,opaco","CARPENTERIE","29,185"
"DP40-098","Cassetta raccolta moneta DP40 - PRZ + Vern 9003 Liscio","CARPENTERIE","52,084"
"DP40-172-1","Palo per fissaggio su piazzale posteriore DD60T e DP40","CARPENTERIE","284,05"
"DP60-222-1","Palo per fissaggio posteriore DP60 su piazzale - Fe+F.do zinc.+ RAL9003","CARPENTERIE","255,645"
"DP40-900-1GUN","Pannello Porta DP40 NO logo Durex Vers.""2023"" - Plexi stamp. da 8 mm.","PARTI PLASTICHE","795,34"
"DP40-900-1GU","Pannello Porta DP40 Con logo Durex Vers.""2023"" - Plexi stamp. da 8 mm.","PARTI PLASTICHE","795,34"
"DP40-940-1GU","Pannello x POS SELF 4000 + QR CODE per DP40 Vers.Durex 2023","PARTI PLASTICHE","57,80875"
"DD60-034-1","Piastra supporto POS INGENICO DUO DD60 - Fe + Zinc.+ Ral 9003","CARPENTERIE","50,1084"
"DP60-096","Supporto scatola monete dp60 zincata","CARPENTERIE","37,9405"
"DP60-134","Staffa lucchetto dp60 inox","CARPENTERIE","41,4876"
"DP60-292","Supporto ventole sotto base zincata","CARPENTERIE","63,6233"
"DP60-391-1","Piastra per POS Self 2000 L e QR Code DP60 - Fe + Vern 9003 Liscio","CARPENTERIE","57,8761"
"DP60-ATT-N-CL","Attuatore lineare CX.LAT7.2A.12.300 con blocc.,occhiello,perni-LAVORATO","COMPONENTE ELETTRONICO/ELETTRICO","152,66"
"DP60-KIT-04","Paratia cassetto spintore assemblata con 2 molle","GRUPPO MECCANICO","16,52"
"DP60-KIT-08","kit inserimento moneta assemblato DP60","GRUPPO MECCANICO","136,496"
"GDD60-INSMON01","Gruppo Inserimento Monete DD60T","GRUPPO MECCANICO","195,9885"
"DP60-KIT-10-TILT","Kit ""Tilt"" per DP60-DP30-DP40","ACCESSORIO","49,6145"
"DP16-KIT-015","Kit Inserimento moneta/ Gettoniera per DP16/DP18","GRUPPO MECCANICO","136,2266"
"DS20-171","Grondaia per Lettore di banconote per DS20 - PRZ","CARPENTERIE","16,52"
